City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,porto velho,-8.7619,-63.9039,25.03,88,20,1.03,BR,1681349271
1,marathon,44.9,-89.7668,25.58,36,0,4.63,US,1681349469
2,kahului,20.8947,-156.47,28.01,58,40,9.26,US,1681349319
3,tiznit,29.5833,-9.5,20.12,28,0,1.11,MA,1681349348
4,cabo rojo,18.0866,-67.1457,26.9,79,91,0.45,PR,1681349470
5,robertsport,6.7533,-11.3686,26.68,84,6,3.04,LR,1681349470
6,port alfred,-33.5906,26.891,18.45,59,93,3.48,ZA,1681349302
7,matay,28.419,30.7792,13.86,40,0,1.53,EG,1681349470
8,montague,42.5356,-72.5351,18.5,52,5,1.51,US,1681349411
9,alindao,5.0267,21.2088,21.4,87,34,1.61,CF,1681349471
10,henties bay,-22.116,14.2845,14.85,86,0,1.9,NA,1681349388
11,beya,53.0533,90.9139,0.07,44,100,2.02,RU,1681349471
12,bredasdorp,-34.5322,20.0403,12.84,79,100,2.51,ZA,1681349297
13,baruun-urt,46.6806,113.2792,6.4,22,6,4.97,MN,1681349472
14,lavrentiya,65.5833,-171.0,-12.71,73,66,1.89,RU,1681349472
15,lander,42.833,-108.7307,16.45,21,0,1.54,US,1681349472
16,saint-georges,12.0564,-61.7485,25.82,78,20,5.66,GD,1681349472
17,safaga,26.7292,33.9365,18.16,36,0,2.04,EG,1681349472
18,wanning,18.8003,110.3967,24.77,88,100,3.11,CN,1681349347
19,yulara,-25.2406,130.9889,28.37,36,75,1.83,AU,1681349414
20,roald,62.5833,6.1333,8.08,49,72,6.17,NO,1681349449
21,richards bay,-28.783,32.0377,17.38,95,99,1.82,ZA,1681349447
22,tessalit,20.1986,1.0114,27.16,10,98,2.23,ML,1681349473
23,akureyri,65.6835,-18.0878,0.96,93,75,1.03,IS,1681349473
24,atuona,-9.8,-139.0333,27.03,68,100,3.58,PF,1681349309
25,kapaa,22.0752,-159.319,27.99,79,75,7.72,US,1681349326
26,capao da canoa,-29.7456,-50.0097,22.54,81,6,0.91,BR,1681349350
27,rosario de mora,13.5753,-89.2089,24.75,98,99,2.05,SV,1681349473
28,kysyl-syr,63.8986,122.7617,-3.93,91,100,1.57,RU,1681349473
29,champerico,14.3,-91.9167,29.11,64,100,2.8,GT,1681349474
30,ushuaia,-54.8,-68.3,4.81,65,100,7.72,AR,1681349474
31,chifeng,42.2683,118.9636,13.6,16,69,5.88,CN,1681349474
32,provideniya,64.3833,-173.3,-13.94,56,0,3.13,RU,1681349315
33,tuktoyaktuk,69.4541,-133.0374,-19.0,71,40,7.2,CA,1681349324
34,busselton,-33.65,115.3333,20.45,66,50,10.05,AU,1681349318
35,datong,40.0936,113.2914,17.38,22,100,6.31,CN,1681349475
